accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp,business_cost,business_cost_per_client,fold,threshold
0.18599767502906214,0.0890635507733692,0.9842080817464004,0.16334553863942955,0.7729798352901919,2841,21673,34,2119,22013.0,0.8254771815352309,1,0.1
0.2870964112948588,0.09838955593672574,0.9591267998142127,0.17847111187934833,0.7729798352901919,5591,18923,88,2065,19803.0,0.7426032174597818,1,0.15000000000000002
0.3882701466231672,0.10944395410414828,0.9215048769159313,0.19565110201666586,0.7729798352901919,8370,16144,169,1984,17834.0,0.6687666404169947,1,0.20000000000000004
0.48190647616904786,0.12350700497126993,0.8885276358569438,0.2168688357329101,0.7729798352901919,10938,13576,240,1913,15976.0,0.5990925113436082,1,0.25000000000000006
0.5632804589942626,0.13742265678710563,0.8355782628889921,0.23602728942534767,0.7729798352901919,13222,11292,354,1799,14832.0,0.5561930475869051,1,0.30000000000000004
0.6343795702553718,0.1534531520846638,0.7812354853692522,0.25651974988561843,0.7729798352901919,15235,9279,471,1682,13989.0,0.5245809427382158,1,0.3500000000000001
0.6944538193272584,0.17107428947657194,0.7241058987459359,0.2767619385762471,0.7729798352901919,16960,7554,594,1559,13494.0,0.5060186747665654,1,0.40000000000000013
0.7443281958975513,0.18912435025989605,0.6590803529958198,0.29391052195526096,0.7729798352901919,18430,6084,734,1419,13424.0,0.5033937075786553,1,0.4500000000000001
0.7875276559043012,0.20700583819849874,0.5764050162563864,0.30461462935689737,0.7729798352901919,19760,4754,912,1241,13874.0,0.5202684966437919,1,0.5000000000000001
0.8234147073161585,0.23037974683544304,0.5071992568509057,0.3168431742347309,0.7729798352901919,20866,3648,1061,1092,14258.0,0.534668316646042,1,0.5500000000000002
0.8524393445081937,0.2552197802197802,0.4314909428704134,0.32073191783186605,0.7729798352901919,21803,2711,1224,929,14951.0,0.5606554918063524,1,0.6000000000000002
0.8762890463869202,0.2836102719033233,0.34881560613098,0.3128514892730681,0.7729798352901919,22617,1897,1402,751,15917.0,0.5968800389995125,1,0.6500000000000001
0.8956763040461995,0.3263390392048592,0.2745006967022759,0.29818365287588294,0.7729798352901919,23294,1220,1562,591,16840.0,0.6314921063486706,1,0.7000000000000002
0.9079011512356095,0.3674540682414698,0.19507663725034835,0.25485436893203883,0.7729798352901919,23791,723,1733,420,18053.0,0.676979037762028,1,0.7500000000000002
0.9163385457681779,0.43389830508474575,0.11890385508592662,0.1866569449507838,0.7729798352901919,24180,334,1897,256,19304.0,0.723890951363108,1,0.8000000000000003
0.9191135110811115,0.49159663865546216,0.0543427775197399,0.09786700125470514,0.7729798352901919,24393,121,2036,117,20481.0,0.7680278996512544,1,0.8500000000000003
0.9193385082686466,0.5227272727272727,0.010682768230376219,0.020937642239417388,0.7729798352901919,24493,21,2130,23,21321.0,0.7995275059061762,1,0.9000000000000002
0.17924775940300747,0.08860073382254836,0.9869948908499768,0.16260473658032673,0.776914191918769,2655,21859,28,2125,22139.0,0.830202122473469,2,0.1
0.2817339783252709,0.09818009926731269,0.9647004180213655,0.17822206967564785,0.776914191918769,5436,19078,76,2077,19838.0,0.7439157010537368,2,0.15000000000000002
0.38309521130985863,0.1098559266535691,0.9349744542498839,0.19661083166479465,0.776914191918769,8203,16311,140,2013,17711.0,0.6641541980725241,2,0.20000000000000004
0.47624404694941314,0.12298953280571866,0.8950301904319554,0.2162617137085461,0.776914191918769,10773,13741,226,1927,16001.0,0.6000299996250047,2,0.25000000000000006
0.5610679866501669,0.13779766418929168,0.8439386901997213,0.23691244540061282,0.776914191918769,13145,11369,336,1817,14729.0,0.5523305958675516,2,0.30000000000000004
0.632204597442532,0.15340034410939057,0.786809103576405,0.2567444680206123,0.776914191918769,15165,9349,459,1694,13939.0,0.5227059661754228,2,0.3500000000000001
0.6919038512018599,0.17023822473621233,0.7268927078495123,0.27586814736471005,0.776914191918769,16886,7628,588,1565,13508.0,0.5065436682041474,2,0.40000000000000013
0.74361570480369,0.19004764425622023,0.6669763121226197,0.295808013183644,0.776914191918769,18394,6120,717,1436,13290.0,0.49836877039037014,2,0.4500000000000001
